firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A1652060",11,33.7529,6.61,2,587,553,8
"A1653093",4,34.36668,807.96,5,10591,,45
"A1661807",24,42.79247,535,1,1947,204,46
"A1662712",11,61.19693,1887,2,1659,,46
"A1668130",28,40.00517,57.7,2.5,2890,516,47
"A1669765",166,67.08508,1176.5,3.5,3013,244,18
"A1671372",40,48.86746,52098.1,3,9532,517,50
"A1674911",21,27.48596,10044.51,3,1186,,8
"A1675273",364,87.77827,25443.97,3,954,748,8
"A1676643",32,35.02,5750,2,10226,,1
"A1678445",49,76.011,2475,3,1216,802,11
"A1679940",40,84.9382,1477.5,3.333333,729,,32
"A1708827",31,41.76384,10350,1,6509,602,3
"A1716110",11,30.153,254.22,1.5,4919,,3
"A1718594",52,45.76977,3250,3,3926,,3
"A1724602",10,48.1566,1372.64,3,11627,452,4
"A1724892",9,59.41471,2540,2,7637,452,4
"A1724908",42,39.72259,12000,1.75,6938,554,4
"A1745325",91,72.84943,8361.18,3.166667,931,922,6
"A1745766",10,73.09067,445.13,1.5,12260,551,7
"A1746952",36,58.68512,335.41,1.5,7579,551,7
"A1747347",16,78.71133,14860.53,3,8218,453,7
"A1747671",7,52.84542,612,1.6,7609,551,7
"A1768921",8,62.62189,3927.94,5,2418,,7
"A1769730",21,96.57841,462.57,2.5,14980,,8
"A1770695",16,234.6678,1679.205,2,17240,,8
"A1771447",38,43.61825,685,2.5,14980,291,8
"A1772301",34,44.86008,259.34,2,13148,517,8
"A1772674",47,55.70882,3600,1,17420,,8
"A1773264",9,90.99394,11232.55,3,12004,,8
"A1773755",14,29.96528,6212.07,2,11321,175,8
"A1773937",6,52.52044,2208.63,2,14980,,8
"A1774766",20,35.31414,21750,1,2921,514,8
"A1775514",32,40.71832,699.13,2,10226,,8
"A1775778",14,46.37608,6693.16,2,10044,,14
"A1776146",6,57.25225,30511.8,1,9854,,8
"A1776611",12,36.0825,1086.33,1,9513,,8
"A1776800",22,40.42463,1602,2,6604,,36
"A1777306",11,61.38425,131.44,1.5,8854,287,8
"A1777331",18,70.25795,242.5,2,9191,252,8
"A1777445",7,49.95608,1703.625,3,9238,,8
"A1777776",27,49.98288,345.76,2.5,3500,,8
"A1778578",16,55.26833,11305.6,1,8460,,8
"A1779637",15,39.34388,2600,2,8491,517,8
"A1780226",9,41.88352,74.67,1,8399,,8
"A1780314",14,76.64398,1700,2.666667,3059,923,8
"A1780692",52,58.55333,412,1,15021,222,8
"A1781218",6,55.942,442.92,3,7992,524,8
"A1781312",12,41.27617,605.19,2,8139,,8
"A1783623",41,50.47377,219.11,3,7572,,8
"A1784548",27,35.86417,50,3,8357,191,8
"A1785559",29,78.73369,145.92,2.666667,10166,501,8
"A1786062",14,71.73992,6.01,3,7396,,8
"A1787204",18,41.92579,7875,2,7248,,8
"A1788522",12,93.77154,19933.71,2,6895,632,8
"A1790205",8,29.6656,5713.74,1,6557,221,8
"A1790390",20,20.41479,602.92,2,6860,641,8
"A17939",15,33.16225,2000,2,1873,193,2
"A1825981",20,47.94685,57.34,2.5,6027,,8
"A1826957",1,86.66117,1500,2,729,,47
"A18288",0,136.1579,128.02,3,1476,,28
"A18487",36,52.05205,17773.26,1.9,23406,158,3
"A18488",264,76.40086,5157.198,2.166667,21823,851,3
"A18490",67,51.77995,2824.205,1.666667,21719,,35
"A18491",93,60.45316,2350,1.857143,16947,602,3
"A1849155",17,85.08452,210.05,1,2159,452,8
"A18500",18,37.94151,151.36,0,10654,,29
"A18504",76,85.64603,7672.295,2.8,20759,,12
"A18505",11,27.87092,1736.165,5,18682,,3
"A18512",88,41.47421,36.07,2.5,20545,158,3
"A18518",83,48.04952,45693,2,18228,212,3
"A18519",22,50.62845,6495.05,1,24258,,33
"A18525",360,60.88953,16661.79,2.3125,16107,,3
"A18544",51,62.80267,921.41,1.5,15308,,3
"A18556",34,30.93654,226.86,1.5,17139,158,3
"A18584",72,49.54641,5647.51,3,13909,158,3
"A18597",64,59.00184,47506.8,2.25,13513,174,3
"A18602",40,37.15613,95848.43,1,13240,514,3
"A18622",61,51.48675,45544.21,2.4,12390,,46
"A18624",37,52.32412,7600,2.5,12537,,3
"A1865052",12,38.45313,662.99,3,3080,514,8
"A18664",313,24.71761,307.53,1.333333,1886,11,30
"A18675",66,56.57444,100.37,2,12283,551,3
"A18685",25,94.60534,176.47,3,11231,,3
"A18687",37,55.58628,90,1.2,11319,502,3
"A18692",161,73.81475,17976.18,2.833333,10877,,3
"A18711",46,74.29829,1625,2.5,21180,365,3
"A1872089",13,44.02356,1620,2,20235,,9
"A18735",7,100.3044,6578,3,10379,,3
"A18738",112,44.83541,20298.88,2.142857,10410,287,3
"A18739",35,141.322,63.14,2,4504,266,46
"A18745",152,75.87646,3986.97,2.727273,10591,851,3
"A18760",47,52.43905,135.32,1.666667,9698,524,3
"A1877972",24,40.84206,123.24,1,10216,,10
"A1878292",54,41.21951,3636.63,1.666667,3346,452,10
"A18783",150,49.15611,19483.1,1,10044,,28
"A18785",69,57.34538,1100,3,3985,,46
"A18834",65,41.06657,7921.44,1.6,9454,361,3
"A18836",0,84.86937,44.89,2,16646,,15
"A18853",89,45.69976,15629.76,3,9222,,3
"A18860",90,41.99804,10428.83,2,9124,524,3
"A18893",231,105.9413,13929.88,3.333333,9001,622,3
"A18903",42,34.39905,429.41,1.333333,8729,251,3
"A18908",9,54.04668,6900,3,8111,,3
"A1894638",5,95.50612,1262,2.5,1886,11,12
"A19013",66,34.30127,734.74,1.5,8366,,3
"A19022",2,66.09554,476.6667,2,7978,,3
"A19037",175,67.46285,3491.47,2.142857,3135,,3
"A1904257",3,43.57541,327.33,1,17765,,13
"A19063",32,37.7275,5584.18,2,7987,193,3
"A19082",72,45.41263,1262.56,1.75,18620,291,3
"A19090",48,39.14256,3536.48,2,10773,,3
"A19094",36,47.44672,11902.83,2.5,8018,,46
"A19105",13,37.45948,153.89,3,7980,,47
"A19122",17,67.8494,236,1.636364,1094,502,3
"A1912755",11,27.47519,9.02,3,6726,,46
"A19148",17,211.9452,15000,3,7756,511,3
"A19153",39,55.25756,6.31,2.25,7727,243,3
"A19157",10,37.18685,1949.67,3,4199,552,3
"A19172",241,61.17652,51020.16,2,7227,264,3
"A19178",73,116.3749,289.96,2.583333,7570,524,3
"A19183",31,41.93848,2160,2.25,7669,,8
"A19184",13,58.82463,4100,1,14891,602,3
"A19244",20,45.77334,300,2,1552,11,2
"A19297",5,32.17381,4350,1,1886,14,2
"A19312",8,97.23936,5990.341,2.857143,3577,671,33
"A19319",7,56.42126,332.005,3,322,,3
"A19357",13,51.33142,1112.77,3,6615,177,3
"A19362",78,96.64632,3345.3,2.5,4443,701,3
"A19384",43,51.08614,177,1.5,6848,502,3
"A19386",28,35.6633,2723.19,1,6867,193,3
"A1941134",25,75.81121,10068.04,2.5,3135,742,15
"A1942363",6,24.70649,1500,2,6118,748,28
"A19428",162,91.16708,18338.85,2.727273,8620,221,3
"A19439",14,37.89192,22000,1.5,1886,11,3
"A19442",207,47.75736,152.855,1.705882,10257,451,3
"A19445",25,72.26675,297.03,1,8248,927,3
"A19446",25,52.9554,55,2,9759,551,3
